수험번호,선택과목,문제번호,대분류,중분류,소분류,학생이 쓴 답,정답,배점
34,공통,14,수학Ⅱ,적분법,정적분 활용,5,5,4
34,공통,15,수학Ⅰ,수열,점화식 문제,3,3,4
34,공통,16,수학Ⅰ,지수와 로그,로그 방정식,327,7,3
34,공통,17,수학Ⅱ,미분법,도함수를 통한 함수 구하기,16,16,3
34,공통,18,수학Ⅰ,수열,수열의 합,13,13,3
34,공통,19,수학Ⅱ,다항식,다항식의 실근 개수,101,4,3
34,공통,20,수학Ⅱ,적분법,정적분과 넓이 계산,80,80,4
34,공통,21,수학Ⅰ,삼각함수,삼각함수 활용,162,220,4
34,공통,22,수학Ⅱ,미분법,삼차함수의 극값과 방정식,58,58,4
34,미적분,23,미적분,극한,함수의 극한값,1,1,2
34,미적분,24,미적분,정적분,정적분 계산 문제,2,2,3
34,미적분,25,미적분,수열의 극한,수렴 조건과 극한값,5,5,3
34,미적분,26,미적분,정적분,회전체의 부피 계산,3,3,3
34,미적분,27,미적분,수열의 극한,점화식을 이용한 극한,3,3,3
34,미적분,28,미적분,정적분,부피와 삼각함수의 극한,4,4,4
34,미적분,29,미적분,미분법,역함수의 미분,973,3,4
34,미적분,30,미적분,정적분,정적분과 미분의 활용,395,283,4
35,공통,1,수학Ⅰ,지수와 로그,로그 함수의 성질,4,4,2
35,공통,2,수학Ⅱ,함수의 극한,함수의 극한값 계산,1,1,2
35,공통,3,수학Ⅰ,삼각함수,삼각함수의 성질,2,2,2
35,공통,4,수학Ⅱ,함수의 연속성,연속의 개념 및 조건,4,1,3
35,공통,5,수학Ⅰ,수열,등차수열의 일반항,3,3,3
35,공통,6,수학Ⅱ,미분법,극댓값과 극솟값,5,5,3
35,공통,7,수학Ⅰ,수열,수열의 합,5,5,3
35,공통,8,수학Ⅱ,미분법,접선의 방정식,1,1,3
35,공통,9,수학Ⅰ,삼각함수,삼각함수의 그래프와 성질,3,3,4
35,공통,10,수학Ⅱ,적분법,속도와 거리,4,4,4
35,공통,11,수학Ⅱ,함수의 극한,이차함수의 최대최소,2,2,4
35,공통,12,수학Ⅱ,미분법,접선과 수선의 성질,2,2,4
35,공통,13,수학Ⅰ,삼각함수,삼각비를 이용한 기하 문제,2,5,4
35,공통,14,수학Ⅱ,적분법,정적분 활용,5,5,4
35,공통,15,수학Ⅰ,수열,점화식 문제,3,3,4
35,공통,16,수학Ⅰ,지수와 로그,로그 방정식,7,7,3
35,공통,17,수학Ⅱ,미분법,도함수를 통한 함수 구하기,16,16,3
35,공통,18,수학Ⅰ,수열,수열의 합,249,13,3
35,공통,19,수학Ⅱ,다항식,다항식의 실근 개수,4,4,3
35,공통,20,수학Ⅱ,적분법,정적분과 넓이 계산,80,80,4
35,공통,21,수학Ⅰ,삼각함수,삼각함수 활용,220,220,4
35,공통,22,수학Ⅱ,미분법,삼차함수의 극값과 방정식,839,58,4
35,미적분,23,미적분,극한,함수의 극한값,1,1,2
35,미적분,24,미적분,정적분,정적분 계산 문제,2,2,3
35,미적분,25,미적분,수열의 극한,수렴 조건과 극한값,5,5,3
35,미적분,26,미적분,정적분,회전체의 부피 계산,3,3,3
35,미적분,27,미적분,수열의 극한,점화식을 이용한 극한,3,3,3
35,미적분,28,미적분,정적분,부피와 삼각함수의 극한,4,4,4
35,미적분,29,미적분,미분법,역함수의 미분,274,3,4
35,미적분,30,미적분,정적분,정적분과 미분의 활용,751,283,4
36,공통,1,수학Ⅰ,지수와 로그,로그 함수의 성질,4,4,2
36,공통,2,수학Ⅱ,함수의 극한,함수의 극한값 계산,1,1,2
36,공통,3,수학Ⅰ,삼각함수,삼각함수의 성질,2,2,2
36,공통,4,수학Ⅱ,함수의 연속성,연속의 개념 및 조건,1,1,3
36,공통,5,수학Ⅰ,수열,등차수열의 일반항,2,3,3
36,공통,6,수학Ⅱ,미분법,극댓값과 극솟값,5,5,3
36,공통,7,수학Ⅰ,수열,수열의 합,4,5,3
36,공통,8,수학Ⅱ,미분법,접선의 방정식,1,1,3
36,공통,9,수학Ⅰ,삼각함수,삼각함수의 그래프와 성질,1,3,4
36,공통,10,수학Ⅱ,적분법,속도와 거리,4,4,4
36,공통,11,수학Ⅱ,함수의 극한,이차함수의 최대최소,2,2,4
36,공통,12,수학Ⅱ,미분법,접선과 수선의 성질,4,2,4
36,공통,13,수학Ⅰ,삼각함수,삼각비를 이용한 기하 문제,5,5,4
36,공통,14,수학Ⅱ,적분법,정적분 활용,5,5,4
36,공통,15,수학Ⅰ,수열,점화식 문제,3,3,4
36,공통,16,수학Ⅰ,지수와 로그,로그 방정식,7,7,3
36,공통,17,수학Ⅱ,미분법,도함수를 통한 함수 구하기,16,16,3
36,공통,18,수학Ⅰ,수열,수열의 합,936,13,3
36,공통,19,수학Ⅱ,다항식,다항식의 실근 개수,723,4,3
36,공통,20,수학Ⅱ,적분법,정적분과 넓이 계산,550,80,4
36,공통,21,수학Ⅰ,삼각함수,삼각함수 활용,728,220,4
36,공통,22,수학Ⅱ,미분법,삼차함수의 극값과 방정식,58,58,4
36,미적분,23,미적분,극한,함수의 극한값,1,1,2
36,미적분,24,미적분,정적분,정적분 계산 문제,5,2,3
36,미적분,25,미적분,수열의 극한,수렴 조건과 극한값,5,5,3
36,미적분,26,미적분,정적분,회전체의 부피 계산,3,3,3
36,미적분,27,미적분,수열의 극한,점화식을 이용한 극한,3,3,3
36,미적분,28,미적분,정적분,부피와 삼각함수의 극한,2,4,4
36,미적분,29,미적분,미분법,역함수의 미분,670,3,4
36,미적분,30,미적분,정적분,정적분과 미분의 활용,508,283,4
37,공통,1,수학Ⅰ,지수와 로그,로그 함수의 성질,4,4,2
37,공통,2,수학Ⅱ,함수의 극한,함수의 극한값 계산,1,1,2
37,공통,3,수학Ⅰ,삼각함수,삼각함수의 성질,2,2,2
37,공통,4,수학Ⅱ,함수의 연속성,연속의 개념 및 조건,1,1,3
37,공통,5,수학Ⅰ,수열,등차수열의 일반항,4,3,3
37,공통,6,수학Ⅱ,미분법,극댓값과 극솟값,5,5,3
37,공통,7,수학Ⅰ,수열,수열의 합,5,5,3
37,공통,8,수학Ⅱ,미분법,접선의 방정식,1,1,3
37,공통,9,수학Ⅰ,삼각함수,삼각함수의 그래프와 성질,3,3,4
37,공통,10,수학Ⅱ,적분법,속도와 거리,4,4,4
37,공통,11,수학Ⅱ,함수의 극한,이차함수의 최대최소,2,2,4
37,공통,12,수학Ⅱ,미분법,접선과 수선의 성질,2,2,4
37,공통,13,수학Ⅰ,삼각함수,삼각비를 이용한 기하 문제,4,5,4
37,공통,14,수학Ⅱ,적분법,정적분 활용,5,5,4
37,공통,15,수학Ⅰ,수열,점화식 문제,3,3,4
37,공통,16,수학Ⅰ,지수와 로그,로그 방정식,7,7,3
37,공통,17,수학Ⅱ,미분법,도함수를 통한 함수 구하기,623,16,3
37,공통,18,수학Ⅰ,수열,수열의 합,13,13,3
37,공통,19,수학Ⅱ,다항식,다항식의 실근 개수,121,4,3
37,공통,20,수학Ⅱ,적분법,정적분과 넓이 계산,80,80,4
37,공통,21,수학Ⅰ,삼각함수,삼각함수 활용,386,220,4
37,공통,22,수학Ⅱ,미분법,삼차함수의 극값과 방정식,58,58,4
37,미적분,23,미적분,극한,함수의 극한값,1,1,2
37,미적분,24,미적분,정적분,정적분 계산 문제,2,2,3
37,미적분,25,미적분,수열의 극한,수렴 조건과 극한값,5,5,3
37,미적분,26,미적분,정적분,회전체의 부피 계산,3,3,3
37,미적분,27,미적분,수열의 극한,점화식을 이용한 극한,3,3,3
37,미적분,28,미적분,정적분,부피와 삼각함수의 극한,4,4,4
37,미적분,29,미적분,미분법,역함수의 미분,914,3,4
37,미적분,30,미적분,정적분,정적분과 미분의 활용,424,283,4
38,공통,1,수학Ⅰ,지수와 로그,로그 함수의 성질,4,4,2
38,공통,2,수학Ⅱ,함수의 극한,함수의 극한값 계산,1,1,2
38,공통,3,수학Ⅰ,삼각함수,삼각함수의 성질,2,2,2
38,공통,4,수학Ⅱ,함수의 연속성,연속의 개념 및 조건,1,1,3
38,공통,5,수학Ⅰ,수열,등차수열의 일반항,3,3,3
38,공통,6,수학Ⅱ,미분법,극댓값과 극솟값,5,5,3
38,공통,7,수학Ⅰ,수열,수열의 합,5,5,3
38,공통,8,수학Ⅱ,미분법,접선의 방정식,3,1,3
38,공통,9,수학Ⅰ,삼각함수,삼각함수의 그래프와 성질,2,3,4
38,공통,10,수학Ⅱ,적분법,속도와 거리,5,4,4
38,공통,11,수학Ⅱ,함수의 극한,이차함수의 최대최소,2,2,4
38,공통,12,수학Ⅱ,미분법,접선과 수선의 성질,2,2,4
38,공통,13,수학Ⅰ,삼각함수,삼각비를 이용한 기하 문제,5,5,4
38,공통,14,수학Ⅱ,적분법,정적분 활용,5,5,4
38,공통,15,수학Ⅰ,수열,점화식 문제,4,3,4
38,공통,16,수학Ⅰ,지수와 로그,로그 방정식,7,7,3
38,공통,17,수학Ⅱ,미분법,도함수를 통한 함수 구하기,16,16,3
38,공통,18,수학Ⅰ,수열,수열의 합,13,13,3
38,공통,19,수학Ⅱ,다항식,다항식의 실근 개수,2,4,3
38,공통,20,수학Ⅱ,적분법,정적분과 넓이 계산,80,80,4
38,공통,21,수학Ⅰ,삼각함수,삼각함수 활용,922,220,4
38,공통,22,수학Ⅱ,미분법,삼차함수의 극값과 방정식,58,58,4
38,미적분,23,미적분,극한,함수의 극한값,1,1,2
38,미적분,24,미적분,정적분,정적분 계산 문제,5,2,3
38,미적분,25,미적분,수열의 극한,수렴 조건과 극한값,5,5,3
38,미적분,26,미적분,정적분,회전체의 부피 계산,3,3,3
38,미적분,27,미적분,수열의 극한,점화식을 이용한 극한,3,3,3
38,미적분,28,미적분,정적분,부피와 삼각함수의 극한,4,4,4
38,미적분,29,미적분,미분법,역함수의 미분,775,3,4
38,미적분,30,미적분,정적분,정적분과 미분의 활용,686,283,4
39,공통,1,수학Ⅰ,지수와 로그,로그 함수의 성질,4,4,2
39,공통,2,수학Ⅱ,함수의 극한,함수의 극한값 계산,1,1,2
39,공통,3,수학Ⅰ,삼각함수,삼각함수의 성질,2,2,2
39,공통,4,수학Ⅱ,함수의 연속성,연속의 개념 및 조건,2,1,3
39,공통,5,수학Ⅰ,수열,등차수열의 일반항,3,3,3
39,공통,6,수학Ⅱ,미분법,극댓값과 극솟값,5,5,3
39,공통,7,수학Ⅰ,수열,수열의 합,5,5,3
39,공통,8,수학Ⅱ,미분법,접선의 방정식,1,1,3
39,공통,9,수학Ⅰ,삼각함수,삼각함수의 그래프와 성질,3,3,4
39,공통,10,수학Ⅱ,적분법,속도와 거리,5,4,4
39,공통,11,수학Ⅱ,함수의 극한,이차함수의 최대최소,2,2,4
39,공통,12,수학Ⅱ,미분법,접선과 수선의 성질,2,2,4
39,공통,13,수학Ⅰ,삼각함수,삼각비를 이용한 기하 문제,5,5,4
39,공통,14,수학Ⅱ,적분법,정적분 활용,5,5,4
39,공통,15,수학Ⅰ,수열,점화식 문제,3,3,4
39,공통,16,수학Ⅰ,지수와 로그,로그 방정식,7,7,3
39,공통,17,수학Ⅱ,미분법,도함수를 통한 함수 구하기,279,16,3
39,공통,18,수학Ⅰ,수열,수열의 합,13,13,3
39,공통,19,수학Ⅱ,다항식,다항식의 실근 개수,4,4,3
39,공통,20,수학Ⅱ,적분법,정적분과 넓이 계산,80,80,4
39,공통,21,수학Ⅰ,삼각함수,삼각함수 활용,220,220,4
39,공통,22,수학Ⅱ,미분법,삼차함수의 극값과 방정식,58,58,4
39,미적분,23,미적분,극한,함수의 극한값,1,1,2
39,미적분,24,미적분,정적분,정적분 계산 문제,2,2,3
39,미적분,25,미적분,수열의 극한,수렴 조건과 극한값,5,5,3
39,미적분,26,미적분,정적분,회전체의 부피 계산,3,3,3
39,미적분,27,미적분,수열의 극한,점화식을 이용한 극한,3,3,3
39,미적분,28,미적분,정적분,부피와 삼각함수의 극한,4,4,4
39,미적분,29,미적분,미분법,역함수의 미분,342,3,4
39,미적분,30,미적분,정적분,정적분과 미분의 활용,214,283,4
40,공통,1,수학Ⅰ,지수와 로그,로그 함수의 성질,4,4,2
40,공통,2,수학Ⅱ,함수의 극한,함수의 극한값 계산,1,1,2
40,공통,3,수학Ⅰ,삼각함수,삼각함수의 성질,2,2,2
40,공통,4,수학Ⅱ,함수의 연속성,연속의 개념 및 조건,1,1,3
40,공통,5,수학Ⅰ,수열,등차수열의 일반항,5,3,3
40,공통,6,수학Ⅱ,미분법,극댓값과 극솟값,5,5,3
40,공통,7,수학Ⅰ,수열,수열의 합,5,5,3
40,공통,8,수학Ⅱ,미분법,접선의 방정식,1,1,3
40,공통,9,수학Ⅰ,삼각함수,삼각함수의 그래프와 성질,3,3,4
40,공통,10,수학Ⅱ,적분법,속도와 거리,4,4,4
40,공통,11,수학Ⅱ,함수의 극한,이차함수의 최대최소,2,2,4
40,공통,12,수학Ⅱ,미분법,접선과 수선의 성질,2,2,4
40,공통,13,수학Ⅰ,삼각함수,삼각비를 이용한 기하 문제,5,5,4
40,공통,14,수학Ⅱ,적분법,정적분 활용,5,5,4
40,공통,15,수학Ⅰ,수열,점화식 문제,3,3,4
40,공통,16,수학Ⅰ,지수와 로그,로그 방정식,7,7,3
40,공통,17,수학Ⅱ,미분법,도함수를 통한 함수 구하기,16,16,3
40,공통,18,수학Ⅰ,수열,수열의 합,13,13,3
40,공통,19,수학Ⅱ,다항식,다항식의 실근 개수,4,4,3
40,공통,20,수학Ⅱ,적분법,정적분과 넓이 계산,936,80,4
40,공통,21,수학Ⅰ,삼각함수,삼각함수 활용,220,220,4
40,공통,22,수학Ⅱ,미분법,삼차함수의 극값과 방정식,234,58,4
40,미적분,23,미적분,극한,함수의 극한값,1,1,2
40,미적분,24,미적분,정적분,정적분 계산 문제,2,2,3
40,미적분,25,미적분,수열의 극한,수렴 조건과 극한값,5,5,3
40,미적분,26,미적분,정적분,회전체의 부피 계산,3,3,3
40,미적분,27,미적분,수열의 극한,점화식을 이용한 극한,3,3,3
40,미적분,28,미적분,정적분,부피와 삼각함수의 극한,4,4,4
40,미적분,29,미적분,미분법,역함수의 미분,121,3,4
40,미적분,30,미적분,정적분,정적분과 미분의 활용,753,283,4
41,공통,1,수학Ⅰ,지수와 로그,로그 함수의 성질,4,4,2
41,공통,2,수학Ⅱ,함수의 극한,함수의 극한값 계산,1,1,2
41,공통,3,수학Ⅰ,삼각함수,삼각함수의 성질,2,2,2
41,공통,4,수학Ⅱ,함수의 연속성,연속의 개념 및 조건,1,1,3
41,공통,5,수학Ⅰ,수열,등차수열의 일반항,2,3,3
41,공통,6,수학Ⅱ,미분법,극댓값과 극솟값,5,5,3
41,공통,7,수학Ⅰ,수열,수열의 합,5,5,3
41,공통,8,수학Ⅱ,미분법,접선의 방정식,1,1,3
41,공통,9,수학Ⅰ,삼각함수,삼각함수의 그래프와 성질,3,3,4
41,공통,10,수학Ⅱ,적분법,속도와 거리,4,4,4
41,공통,11,수학Ⅱ,함수의 극한,이차함수의 최대최소,2,2,4
41,공통,12,수학Ⅱ,미분법,접선과 수선의 성질,2,2,4
41,공통,13,수학Ⅰ,삼각함수,삼각비를 이용한 기하 문제,5,5,4
41,공통,14,수학Ⅱ,적분법,정적분 활용,5,5,4
41,공통,15,수학Ⅰ,수열,점화식 문제,3,3,4
41,공통,16,수학Ⅰ,지수와 로그,로그 방정식,985,7,3
41,공통,17,수학Ⅱ,미분법,도함수를 통한 함수 구하기,16,16,3
41,공통,18,수학Ⅰ,수열,수열의 합,13,13,3
41,공통,19,수학Ⅱ,다항식,다항식의 실근 개수,793,4,3
41,공통,20,수학Ⅱ,적분법,정적분과 넓이 계산,80,80,4
41,공통,21,수학Ⅰ,삼각함수,삼각함수 활용,220,220,4
41,공통,22,수학Ⅱ,미분법,삼차함수의 극값과 방정식,58,58,4
41,미적분,23,미적분,극한,함수의 극한값,1,1,2
41,미적분,24,미적분,정적분,정적분 계산 문제,2,2,3
41,미적분,25,미적분,수열의 극한,수렴 조건과 극한값,5,5,3
41,미적분,26,미적분,정적분,회전체의 부피 계산,3,3,3
41,미적분,27,미적분,수열의 극한,점화식을 이용한 극한,3,3,3
41,미적분,28,미적분,정적분,부피와 삼각함수의 극한,4,4,4
41,미적분,29,미적분,미분법,역함수의 미분,742,3,4
41,미적분,30,미적분,정적분,정적분과 미분의 활용,356,283,4
42,공통,1,수학Ⅰ,지수와 로그,로그 함수의 성질,4,4,2
42,공통,2,수학Ⅱ,함수의 극한,함수의 극한값 계산,1,1,2
42,공통,3,수학Ⅰ,삼각함수,삼각함수의 성질,2,2,2
42,공통,4,수학Ⅱ,함수의 연속성,연속의 개념 및 조건,1,1,3
42,공통,5,수학Ⅰ,수열,등차수열의 일반항,5,3,3
42,공통,6,수학Ⅱ,미분법,극댓값과 극솟값,5,5,3
42,공통,7,수학Ⅰ,수열,수열의 합,5,5,3
42,공통,8,수학Ⅱ,미분법,접선의 방정식,1,1,3
42,공통,9,수학Ⅰ,삼각함수,삼각함수의 그래프와 성질,3,3,4
42,공통,10,수학Ⅱ,적분법,속도와 거리,2,4,4
42,공통,11,수학Ⅱ,함수의 극한,이차함수의 최대최소,3,2,4
42,공통,12,수학Ⅱ,미분법,접선과 수선의 성질,1,2,4
42,공통,13,수학Ⅰ,삼각함수,삼각비를 이용한 기하 문제,5,5,4
42,공통,14,수학Ⅱ,적분법,정적분 활용,5,5,4
42,공통,15,수학Ⅰ,수열,점화식 문제,3,3,4
42,공통,16,수학Ⅰ,지수와 로그,로그 방정식,7,7,3
42,공통,17,수학Ⅱ,미분법,도함수를 통한 함수 구하기,16,16,3
42,공통,18,수학Ⅰ,수열,수열의 합,13,13,3
42,공통,19,수학Ⅱ,다항식,다항식의 실근 개수,858,4,3
42,공통,20,수학Ⅱ,적분법,정적분과 넓이 계산,80,80,4
42,공통,21,수학Ⅰ,삼각함수,삼각함수 활용,220,220,4
42,공통,22,수학Ⅱ,미분법,삼차함수의 극값과 방정식,58,58,4
42,미적분,23,미적분,극한,함수의 극한값,1,1,2
42,미적분,24,미적분,정적분,정적분 계산 문제,2,2,3
42,미적분,25,미적분,수열의 극한,수렴 조건과 극한값,5,5,3
42,미적분,26,미적분,정적분,회전체의 부피 계산,3,3,3
42,미적분,27,미적분,수열의 극한,점화식을 이용한 극한,3,3,3
42,미적분,28,미적분,정적분,부피와 삼각함수의 극한,4,4,4
42,미적분,29,미적분,미분법,역함수의 미분,584,3,4
42,미적분,30,미적분,정적분,정적분과 미분의 활용,458,283,4
43,공통,1,수학Ⅰ,지수와 로그,로그 함수의 성질,4,4,2
43,공통,2,수학Ⅱ,함수의 극한,함수의 극한값 계산,1,1,2
43,공통,3,수학Ⅰ,삼각함수,삼각함수의 성질,2,2,2
43,공통,4,수학Ⅱ,함수의 연속성,연속의 개념 및 조건,1,1,3
43,공통,5,수학Ⅰ,수열,등차수열의 일반항,1,3,3
43,공통,6,수학Ⅱ,미분법,극댓값과 극솟값,2,5,3
43,공통,7,수학Ⅰ,수열,수열의 합,5,5,3
43,공통,8,수학Ⅱ,미분법,접선의 방정식,1,1,3
43,공통,9,수학Ⅰ,삼각함수,삼각함수의 그래프와 성질,3,3,4
43,공통,10,수학Ⅱ,적분법,속도와 거리,4,4,4
43,공통,11,수학Ⅱ,함수의 극한,이차함수의 최대최소,2,2,4
43,공통,12,수학Ⅱ,미분법,접선과 수선의 성질,2,2,4
43,공통,13,수학Ⅰ,삼각함수,삼각비를 이용한 기하 문제,1,5,4
43,공통,14,수학Ⅱ,적분법,정적분 활용,5,5,4
43,공통,15,수학Ⅰ,수열,점화식 문제,3,3,4
43,공통,16,수학Ⅰ,지수와 로그,로그 방정식,7,7,3
43,공통,17,수학Ⅱ,미분법,도함수를 통한 함수 구하기,956,16,3
43,공통,18,수학Ⅰ,수열,수열의 합,13,13,3
43,공통,19,수학Ⅱ,다항식,다항식의 실근 개수,4,4,3
43,공통,20,수학Ⅱ,적분법,정적분과 넓이 계산,824,80,4
43,공통,21,수학Ⅰ,삼각함수,삼각함수 활용,220,220,4
43,공통,22,수학Ⅱ,미분법,삼차함수의 극값과 방정식,58,58,4
43,미적분,23,미적분,극한,함수의 극한값,1,1,2
43,미적분,24,미적분,정적분,정적분 계산 문제,2,2,3
43,미적분,25,미적분,수열의 극한,수렴 조건과 극한값,5,5,3
43,미적분,26,미적분,정적분,회전체의 부피 계산,3,3,3
43,미적분,27,미적분,수열의 극한,점화식을 이용한 극한,3,3,3
43,미적분,28,미적분,정적분,부피와 삼각함수의 극한,4,4,4
43,미적분,29,미적분,미분법,역함수의 미분,810,3,4
43,미적분,30,미적분,정적분,정적분과 미분의 활용,363,283,4
44,공통,1,수학Ⅰ,지수와 로그,로그 함수의 성질,4,4,2
44,공통,2,수학Ⅱ,함수의 극한,함수의 극한값 계산,1,1,2
44,공통,3,수학Ⅰ,삼각함수,삼각함수의 성질,2,2,2
44,공통,4,수학Ⅱ,함수의 연속성,연속의 개념 및 조건,1,1,3
44,공통,5,수학Ⅰ,수열,등차수열의 일반항,3,3,3
44,공통,6,수학Ⅱ,미분법,극댓값과 극솟값,5,5,3
44,공통,7,수학Ⅰ,수열,수열의 합,5,5,3
44,공통,8,수학Ⅱ,미분법,접선의 방정식,3,1,3
44,공통,9,수학Ⅰ,삼각함수,삼각함수의 그래프와 성질,3,3,4
44,공통,10,수학Ⅱ,적분법,속도와 거리,3,4,4
44,공통,11,수학Ⅱ,함수의 극한,이차함수의 최대최소,4,2,4
44,공통,12,수학Ⅱ,미분법,접선과 수선의 성질,2,2,4
44,공통,13,수학Ⅰ,삼각함수,삼각비를 이용한 기하 문제,5,5,4
44,공통,14,수학Ⅱ,적분법,정적분 활용,4,5,4
44,공통,15,수학Ⅰ,수열,점화식 문제,3,3,4
44,공통,16,수학Ⅰ,지수와 로그,로그 방정식,360,7,3
44,공통,17,수학Ⅱ,미분법,도함수를 통한 함수 구하기,16,16,3
44,공통,18,수학Ⅰ,수열,수열의 합,13,13,3
44,공통,19,수학Ⅱ,다항식,다항식의 실근 개수,4,4,3
44,공통,20,수학Ⅱ,적분법,정적분과 넓이 계산,80,80,4
44,공통,21,수학Ⅰ,삼각함수,삼각함수 활용,608,220,4
44,공통,22,수학Ⅱ,미분법,삼차함수의 극값과 방정식,58,58,4
44,미적분,23,미적분,극한,함수의 극한값,1,1,2
44,미적분,24,미적분,정적분,정적분 계산 문제,2,2,3
44,미적분,25,미적분,수열의 극한,수렴 조건과 극한값,3,5,3
44,미적분,26,미적분,정적분,회전체의 부피 계산,4,3,3
44,미적분,27,미적분,수열의 극한,점화식을 이용한 극한,3,3,3
44,미적분,28,미적분,정적분,부피와 삼각함수의 극한,4,4,4
44,미적분,29,미적분,미분법,역함수의 미분,379,3,4
44,미적분,30,미적분,정적분,정적분과 미분의 활용,108,283,4
45,공통,1,수학Ⅰ,지수와 로그,로그 함수의 성질,4,4,2
45,공통,2,수학Ⅱ,함수의 극한,함수의 극한값 계산,1,1,2
45,공통,3,수학Ⅰ,삼각함수,삼각함수의 성질,2,2,2
45,공통,4,수학Ⅱ,함수의 연속성,연속의 개념 및 조건,1,1,3
45,공통,5,수학Ⅰ,수열,등차수열의 일반항,3,3,3
45,공통,6,수학Ⅱ,미분법,극댓값과 극솟값,1,5,3
45,공통,7,수학Ⅰ,수열,수열의 합,5,5,3
45,공통,8,수학Ⅱ,미분법,접선의 방정식,4,1,3
45,공통,9,수학Ⅰ,삼각함수,삼각함수의 그래프와 성질,3,3,4
45,공통,10,수학Ⅱ,적분법,속도와 거리,4,4,4
45,공통,11,수학Ⅱ,함수의 극한,이차함수의 최대최소,2,2,4
45,공통,12,수학Ⅱ,미분법,접선과 수선의 성질,2,2,4
45,공통,13,수학Ⅰ,삼각함수,삼각비를 이용한 기하 문제,5,5,4
45,공통,14,수학Ⅱ,적분법,정적분 활용,1,5,4
45,공통,15,수학Ⅰ,수열,점화식 문제,1,3,4
45,공통,16,수학Ⅰ,지수와 로그,로그 방정식,725,7,3
45,공통,17,수학Ⅱ,미분법,도함수를 통한 함수 구하기,16,16,3
45,공통,18,수학Ⅰ,수열,수열의 합,13,13,3
45,공통,19,수학Ⅱ,다항식,다항식의 실근 개수,4,4,3
45,공통,20,수학Ⅱ,적분법,정적분과 넓이 계산,80,80,4
45,공통,21,수학Ⅰ,삼각함수,삼각함수 활용,220,220,4
45,공통,22,수학Ⅱ,미분법,삼차함수의 극값과 방정식,58,58,4
45,미적분,23,미적분,극한,함수의 극한값,1,1,2
45,미적분,24,미적분,정적분,정적분 계산 문제,2,2,3
45,미적분,25,미적분,수열의 극한,수렴 조건과 극한값,5,5,3
45,미적분,26,미적분,정적분,회전체의 부피 계산,3,3,3
45,미적분,27,미적분,수열의 극한,점화식을 이용한 극한,3,3,3
45,미적분,28,미적분,정적분,부피와 삼각함수의 극한,4,4,4
45,미적분,29,미적분,미분법,역함수의 미분,417,3,4
45,미적분,30,미적분,정적분,정적분과 미분의 활용,608,283,4
46,공통,1,수학Ⅰ,지수와 로그,로그 함수의 성질,4,4,2
46,공통,2,수학Ⅱ,함수의 극한,함수의 극한값 계산,1,1,2
46,공통,3,수학Ⅰ,삼각함수,삼각함수의 성질,2,2,2
46,공통,4,수학Ⅱ,함수의 연속성,연속의 개념 및 조건,1,1,3
46,공통,5,수학Ⅰ,수열,등차수열의 일반항,3,3,3
46,공통,6,수학Ⅱ,미분법,극댓값과 극솟값,5,5,3
46,공통,7,수학Ⅰ,수열,수열의 합,5,5,3
46,공통,8,수학Ⅱ,미분법,접선의 방정식,1,1,3
46,공통,9,수학Ⅰ,삼각함수,삼각함수의 그래프와 성질,3,3,4
46,공통,10,수학Ⅱ,적분법,속도와 거리,4,4,4
46,공통,11,수학Ⅱ,함수의 극한,이차함수의 최대최소,2,2,4
46,공통,12,수학Ⅱ,미분법,접선과 수선의 성질,2,2,4
46,공통,13,수학Ⅰ,삼각함수,삼각비를 이용한 기하 문제,5,5,4
46,공통,14,수학Ⅱ,적분법,정적분 활용,5,5,4
46,공통,15,수학Ⅰ,수열,점화식 문제,4,3,4
46,공통,16,수학Ⅰ,지수와 로그,로그 방정식,7,7,3
46,공통,17,수학Ⅱ,미분법,도함수를 통한 함수 구하기,16,16,3
46,공통,18,수학Ⅰ,수열,수열의 합,13,13,3
46,공통,19,수학Ⅱ,다항식,다항식의 실근 개수,4,4,3
46,공통,20,수학Ⅱ,적분법,정적분과 넓이 계산,80,80,4
46,공통,21,수학Ⅰ,삼각함수,삼각함수 활용,220,220,4
46,공통,22,수학Ⅱ,미분법,삼차함수의 극값과 방정식,58,58,4
46,미적분,23,미적분,극한,함수의 극한값,1,1,2
46,미적분,24,미적분,정적분,정적분 계산 문제,2,2,3
46,미적분,25,미적분,수열의 극한,수렴 조건과 극한값,5,5,3
46,미적분,26,미적분,정적분,회전체의 부피 계산,3,3,3
46,미적분,27,미적분,수열의 극한,점화식을 이용한 극한,3,3,3
46,미적분,28,미적분,정적분,부피와 삼각함수의 극한,4,4,4
46,미적분,29,미적분,미분법,역함수의 미분,19,3,4
46,미적분,30,미적분,정적분,정적분과 미분의 활용,384,283,4
47,공통,1,수학Ⅰ,지수와 로그,로그 함수의 성질,4,4,2
47,공통,2,수학Ⅱ,함수의 극한,함수의 극한값 계산,1,1,2
47,공통,3,수학Ⅰ,삼각함수,삼각함수의 성질,2,2,2
47,공통,4,수학Ⅱ,함수의 연속성,연속의 개념 및 조건,1,1,3
47,공통,5,수학Ⅰ,수열,등차수열의 일반항,3,3,3
47,공통,6,수학Ⅱ,미분법,극댓값과 극솟값,5,5,3
47,공통,7,수학Ⅰ,수열,수열의 합,5,5,3
47,공통,8,수학Ⅱ,미분법,접선의 방정식,1,1,3
